episode,timestep,reward
0,2,0.0
0,4,0.0
0,6,0.0
0,8,0.0
0,10,0.0
0,12,0.0
0,14,0.0
0,16,0.0
0,18,0.0
0,20,0.0
0,22,0.0
0,24,0.0
0,26,0.0
0,28,0.0
0,30,0.0
0,32,0.0
0,34,0.0
0,36,0.0
0,38,0.0
0,40,0.0
0,42,0.0
0,44,0.0
0,46,0.0
0,48,0.0
0,50,0.0
0,52,0.0
0,54,0.0
0,56,0.0
1,58,0.0
1,60,0.0
1,62,0.0
1,64,0.0
1,66,0.0
1,68,0.0
1,70,0.0
1,72,0.0
1,74,0.0
1,76,0.0
1,78,0.0
1,80,0.0
1,82,0.0
1,84,0.0
1,86,0.0
1,88,0.0
1,90,0.0
1,92,0.0
1,94,0.0
1,96,0.0
1,98,0.0
1,100,0.0
1,102,0.0
1,104,0.0
1,106,0.0
1,108,0.0
1,110,0.0
1,112,0.0
1,114,0.0
1,116,0.0
1,118,0.0
1,120,0.0
1,122,0.0
1,124,0.0
1,126,0.0
1,128,0.0
1,130,0.0
1,132,0.0
1,134,0.0
1,136,0.0
1,138,0.0
2,140,0.0
2,142,0.0
2,144,0.0
2,146,0.0
2,148,0.0
2,150,0.0
2,152,0.0
2,154,0.0
2,156,0.0
2,158,0.0
2,160,0.0
2,162,0.0
2,164,0.0
2,166,0.0
2,168,0.0
2,170,0.0
2,172,0.0
2,174,0.0
2,176,0.0
2,178,0.0
2,180,0.0
3,182,0.0
3,184,0.0
3,186,0.0
3,188,0.0
3,190,0.0
3,192,0.0
3,194,0.0
3,196,0.0
3,198,0.0
3,200,0.0
3,202,0.0
3,204,0.0
3,206,0.0
3,208,0.0
3,210,0.0
3,212,0.0
3,214,0.0
3,216,0.0
3,218,0.0
3,220,0.0
3,222,0.0
3,224,0.0
4,226,0.0
4,228,0.0
4,230,0.0
4,232,0.0
4,234,0.0
4,236,0.0
4,238,0.0
4,240,0.0
4,242,0.0
4,244,0.0
4,246,0.0
4,248,0.0
4,250,0.0
4,252,0.0
4,254,0.0
4,256,0.0
4,258,0.0
4,260,0.0
5,262,0.0
5,264,0.0
5,266,0.0
5,268,0.0
5,270,0.0
5,272,0.0
5,274,0.0
5,276,0.0
5,278,0.0
5,280,0.0
5,282,0.0
5,284,0.0
5,286,0.0
5,288,0.0
5,290,0.0
5,292,0.0
5,294,0.0
5,296,0.0
5,298,0.0
5,300,0.0
5,302,0.0
5,304,0.0
6,306,0.0
6,308,0.0
6,310,0.0
6,312,0.0
6,314,0.0
6,316,0.0
6,318,0.0
6,320,0.0
6,322,0.0
6,324,0.0
6,326,0.0
6,328,0.0
6,330,0.0
6,332,0.0
6,334,0.0
6,336,0.0
6,338,0.0
6,340,0.0
6,342,0.0
6,344,0.0
7,346,0.0
7,348,0.0
7,350,0.0
7,352,0.0
7,354,0.0
7,356,0.0
7,358,0.0
7,360,0.0
7,362,0.0
7,364,0.0
7,366,0.0
7,368,0.0
7,370,0.0
7,372,0.0
7,374,0.0
7,376,0.0
7,378,0.0
7,380,0.0
7,382,0.0
7,384,0.0
7,386,0.0
7,388,0.0
7,390,0.0
7,392,0.0
7,394,0.0
7,396,0.0
7,398,0.0
7,400,0.0
7,402,0.0
8,404,0.0
8,406,0.0
8,408,0.0
8,410,0.0
8,412,0.0
8,414,0.0
8,416,0.0
8,418,0.0
8,420,0.0
8,422,0.0
8,424,0.0
8,426,0.0
8,428,0.0
8,430,0.0
8,432,0.0
8,434,0.0
8,436,0.0
8,438,0.0
8,440,0.0
8,442,0.0
8,444,0.0
8,446,0.0
8,448,0.0
8,450,0.0
8,452,0.0
8,454,0.0
8,456,0.0
8,458,0.0
8,460,0.0
8,462,0.0
8,464,0.0
9,466,0.0
9,468,0.0
9,470,0.0
9,472,0.0
9,474,0.0
9,476,0.0
9,478,0.0
9,480,0.0
9,482,0.0
9,484,0.0
9,486,0.0
9,488,0.0
9,490,0.0
9,492,0.0
9,494,0.0
9,496,0.0
9,498,0.0
9,500,0.0
9,502,0.0
9,504,0.0
9,506,0.0
9,508,0.0
9,510,0.0
9,512,0.0
9,514,0.0
9,516,0.0
9,518,0.0
9,520,0.0
9,522,0.0
10,524,0.0
10,526,0.0
10,528,0.0
10,530,0.0
10,532,0.0
10,534,0.0
10,536,0.0
10,538,0.0
10,540,0.0
10,542,0.0
10,544,0.0
10,546,0.0
10,548,0.0
10,550,0.0
10,552,0.0
10,554,0.0
10,556,0.0
10,558,0.0
10,560,0.0
10,562,0.0
10,564,0.0
10,566,0.0
10,568,0.0
10,570,0.0
10,572,0.0
10,574,0.0
10,576,0.0
11,578,0.0
11,580,0.0
11,582,0.0
11,584,0.0
11,586,0.0
11,588,0.0
11,590,0.0
11,592,0.0
11,594,0.0
11,596,0.0
11,598,0.0
11,600,0.0
11,602,0.0
11,604,0.0
11,606,0.0
11,608,0.0
11,610,0.0
11,612,0.0
11,614,0.0
11,616,0.0
11,618,0.0
12,620,0.0
12,622,0.0
12,624,0.0
12,626,0.0
12,628,0.0
12,630,0.0
12,632,0.0
12,634,0.0
12,636,0.0
12,638,0.0
12,640,0.0
12,642,0.0
12,644,0.0
12,646,0.0
12,648,0.0
13,650,0.0
13,652,0.0
13,654,0.0
13,656,0.0
13,658,0.0
13,660,0.0
13,662,0.0
13,664,0.0
13,666,0.0
13,668,0.0
13,670,0.0
13,672,0.0
13,674,0.0
13,676,0.0
13,678,0.0
13,680,0.0
13,682,0.0
13,684,0.0
13,686,0.0
14,688,0.0
14,690,0.0
14,692,0.0
14,694,0.0
14,696,0.0
14,698,0.0
14,700,0.0
14,702,0.0
14,704,0.0
14,706,0.0
14,708,0.0
14,710,0.0
14,712,0.0
14,714,0.0
14,716,0.0
14,718,0.0
14,720,0.0
14,722,0.0
14,724,0.0
14,726,0.0
14,728,0.0
14,730,0.0
14,732,0.0
14,734,0.0
14,736,0.0
14,738,0.0
14,740,0.0
14,742,0.0
14,744,0.0
14,746,0.0
14,748,0.0
14,750,0.0
14,752,0.0
15,754,0.0
15,756,0.0
15,758,0.0
15,760,0.0
15,762,0.0
15,764,0.0
15,766,0.0
15,768,0.0
15,770,0.0
15,772,0.0
15,774,0.0
15,776,0.0
15,778,0.0
15,780,0.0
15,782,0.0
15,784,0.0
15,786,0.0
15,788,0.0
15,790,0.0
15,792,0.0
15,794,0.0
15,796,0.0
15,798,0.0
15,800,0.0
15,802,0.0
15,804,0.0
15,806,0.0
15,808,0.0
16,810,0.0
16,812,0.0
16,814,0.0
16,816,0.0
16,818,0.0
16,820,0.0
16,822,0.0
16,824,0.0
16,826,0.0
16,828,0.0
16,830,0.0
16,832,0.0
16,834,0.0
16,836,0.0
16,838,0.0
16,840,0.0
16,842,0.0
16,844,0.0
16,846,0.0
16,848,0.0
17,850,0.0
17,852,0.0
17,854,0.0
17,856,0.0
17,858,0.0
17,860,0.0
17,862,0.0
17,864,0.0
17,866,0.0
17,868,0.0
17,870,0.0
17,872,0.0
17,874,0.0
17,876,0.0
17,878,0.0
17,880,0.0
17,882,0.0
17,884,0.0
17,886,0.0
17,888,0.0
17,890,0.0
17,892,0.0
17,894,0.0
18,896,0.0
18,898,0.0
18,900,0.0
18,902,0.0
18,904,0.0
18,906,0.0
18,908,0.0
18,910,0.0
18,912,0.0
18,914,0.0
18,916,0.0
18,918,0.0
18,920,0.0
18,922,0.0
18,924,0.0
18,926,0.0
18,928,0.0
18,930,0.0
18,932,0.0
18,934,0.0
18,936,0.0
18,938,0.0
18,940,0.0
18,942,0.0
18,944,0.0
18,946,0.0
19,948,0.0
19,950,0.0
19,952,0.0
19,954,0.0
19,956,0.0
19,958,0.0
