episode,reward,balance
1,-1003.00,-3.00
2,-1003.00,-3.00
3,-1004.00,-4.00
4,-1005.00,-5.00
5,-206.00,794.00
6,-1003.00,-3.00
7,-1004.00,-4.00
8,-1005.00,-5.00
9,-1004.00,-4.00
10,-1007.00,-7.00
11,-1002.00,-2.00
12,-1002.00,-2.00
13,-1007.00,-7.00
14,-1006.00,-6.00
15,-1003.00,-3.00
16,-1003.00,-3.00
17,-1003.00,-3.00
18,-1002.00,-2.00
19,-1005.00,-5.00
20,-1003.00,-3.00
21,-1003.00,-3.00
22,-1003.00,-3.00
23,-1003.00,-3.00
24,-1003.00,-3.00
25,-1002.00,-2.00
26,-1003.00,-3.00
27,-1005.00,-5.00
28,-1002.00,-2.00
29,-1008.00,-8.00
30,-1002.00,-2.00
31,-1006.00,-6.00
32,-1005.00,-5.00
33,-1003.00,-3.00
34,-1002.00,-2.00
35,-1010.00,-10.00
36,-1004.00,-4.00
37,-1004.00,-4.00
38,-1002.00,-2.00
39,-1003.00,-3.00
40,-1003.00,-3.00
41,-441.00,559.00
42,-1005.00,-5.00
43,-1003.00,-3.00
44,-1003.00,-3.00
45,-1007.00,-7.00
46,-1004.00,-4.00
47,-1002.00,-2.00
48,-1003.00,-3.00
49,-1002.00,-2.00
50,-1005.00,-5.00
51,-1003.00,-3.00
52,-1003.00,-3.00
53,-1004.00,-4.00
54,-1004.00,-4.00
55,-1003.00,-3.00
56,-1005.00,-5.00
57,-1003.00,-3.00
58,-1003.00,-3.00
59,-1009.00,-9.00
60,-1002.00,-2.00
61,-1003.00,-3.00
62,-1004.00,-4.00
63,-1002.00,-2.00
64,-1004.00,-4.00
65,-1006.00,-6.00
66,-1005.00,-5.00
67,-1008.00,-8.00
68,-1006.00,-6.00
69,-1004.00,-4.00
70,-1003.00,-3.00
71,-1002.00,-2.00
72,-1005.00,-5.00
73,-1003.00,-3.00
74,-61.00,939.00
75,-1003.00,-3.00
76,-1004.00,-4.00
77,-1002.00,-2.00
78,-1010.00,-10.00
79,-1004.00,-4.00
80,-1003.00,-3.00
81,-1002.00,-2.00
82,-1002.00,-2.00
83,-1006.00,-6.00
84,-1003.00,-3.00
85,-1006.00,-6.00
86,-1003.00,-3.00
87,-1002.00,-2.00
88,-1007.00,-7.00
89,-1004.00,-4.00
90,-1004.00,-4.00
91,-1008.00,-8.00
92,-1006.00,-6.00
93,-1004.00,-4.00
average,-979.24,20.76
